original_id,aug_id,country_name,country_code,map_coordinates,url,region_name,region_code,title,description,status,stages,date,procurementMethod,budget,currency,buyer,sector,subsector
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Souza Dairy,Tentative subdivision map to divide 375&plusmn; acres into village center/mixed use and residential development,Approved August 2015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Bruceville Meadows,"Tentative subdivision map to divide 113.9&plusmn; acres into ~320 single family residential lots, one multifamily lot, a detention basin, drainage channel, two pocket parks, and various landscape lots. The Project also includes an amendment to the SEPA Strategic Plan to reduce the single family residential density.",In Review,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
